Designator,Mid X,Mid Y,Rotation,Layer
D1,61.9125,-56.9075,-90.0,bottom
D10,223.8375,-76.2,-90.0,bottom
D11,80.9625,-95.25,-90.0,bottom
D12,119.0625,-95.25,-90.0,bottom
D13,157.1625,-95.25,-90.0,bottom
D14,195.2625,-95.25,-90.0,bottom
D15,201.0,-96.15,-90.0,bottom
D16,99.5,-99.9375,90.0,bottom
D17,133.4,-100.3,90.0,bottom
D18,213.2,-100.2,90.0,bottom
D2,100.0125,-57.15,-90.0,bottom
D3,135.25,-40.5375,-90.0,bottom
D4,176.2125,-57.15,-90.0,bottom
D5,214.3125,-57.15,-90.0,bottom
D6,71.4375,-76.2,-90.0,bottom
D7,109.5375,-76.2,-90.0,bottom
D8,147.6375,-76.2,-90.0,bottom
D9,185.7375,-76.2,-90.0,bottom
SW1,52.3875,-47.625,0.0,top
SW10,223.8375,-47.625,0.0,top
SW11,242.8875,-47.625,0.0,top
SW12,61.9125,-66.675,0.0,top
SW13,80.9625,-66.675,0.0,top
SW14,100.0125,-66.675,0.0,top
SW15,119.0625,-66.675,0.0,top
SW16,138.1125,-66.675,0.0,top
SW17,157.1625,-66.675,0.0,top
SW18,176.2125,-66.675,0.0,top
SW19,195.2625,-66.675,0.0,top
SW2,71.4375,-47.625,0.0,top
SW20,214.3125,-66.675,0.0,top
SW21,233.3625,-66.675,0.0,top
SW22,71.4375,-85.725,0.0,top
SW23,90.4875,-85.725,0.0,top
SW24,109.5375,-85.725,0.0,top
SW25,128.5875,-85.725,0.0,top
SW26,147.6375,-85.725,0.0,top
SW27,166.6875,-85.725,0.0,top
SW28,185.7375,-85.725,0.0,top
SW29,204.7875,-85.725,0.0,top
SW3,90.4875,-47.625,0.0,top
SW30,223.8375,-85.725,0.0,top
SW31,80.9625,-109.5375,0.0,top
SW32,100.0125,-109.5375,0.0,top
SW33,128.5875,-109.5375,0.0,top
SW34,166.6875,-109.5375,0.0,top
SW35,195.2625,-109.5375,0.0,top
SW36,214.3125,-109.5375,0.0,top
SW37,147.6375,-109.5375,180.0,top
SW4,109.5375,-47.625,0.0,top
SW5,128.5875,-47.625,0.0,top
SW6,147.6375,-47.625,0.0,top
SW7,166.6875,-47.625,0.0,top
SW8,185.7375,-47.625,0.0,top
SW9,204.7875,-47.625,0.0,top
U1,138.675,-45.233219,0.0,top
